school_name,school_type,source_system,source_url,official_website,phone,email,address,city,county,grades_raw,county_fit,grade_fit,school_type_fit,verification_status,notes
Lake Sybelia Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://lakesybeliaes.ocps.net,,lakesybelia_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lake Weston Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://lakewestones.ocps.net,,lakeweston_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lake Whitney Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://lakewhitneyes.ocps.net,,lakewhitney_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lakemont Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://lakemontes.ocps.net,,lakemont_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lakeville Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://lakevillees.ocps.net,,lakeville_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lancaster Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://lancasteres.ocps.net,,lancaster_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Laureate Park Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://laureateparkes.ocps.net,,laureatepark_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lawton Chiles Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://lawtonchileses.ocps.net,,lawtonchiles_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Little River Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://littleriveres.ocps.net,,littleriver_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lockhart Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://lockhartes.ocps.net,,lockhart_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Lovell Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://lovelles.ocps.net,,lovell_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Luminary Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://luminaryes.ocps.net,,luminary_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
Maxey Elementary,public_elementary,OCPS,https://www.ocps.net/schools/elementary-schools,https://maxeyes.ocps.net,,maxey_es@ocps.net,,,Orange,K-5,YES,YES,YES,VALID,Listed as elementary school in official OCPS directory. Grade K-5 confirmed by OCPS classification.
