school_name,school_type,source_system,source_url,official_website,phone,email,address,city,county,grades_raw,county_fit,grade_fit,school_type_fit,verification_status,notes
Murphy Christian Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 226-7024,contact@murphychristianacademy.org,"7507 KINGSPOINTE PKWAY STE 104, ORLANDO, FL 32819",Orlando,Orange,K-12,YES,YES,YES,VALID,"Director: DENNISE DUARTE. Source: FLDOE Private School Directory, Orange County."
New Heights Preparatory Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 725-5519,amber.glenn83@gmail.com,"630 EMERALDA RD SUIT 104, ORLANDO, FL 32808",Orlando,Orange,PK-12,YES,YES,YES,VALID,"Director: AMBER WILSON. Source: FLDOE Private School Directory, Orange County."
New World Dream Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 668-8365,info@nwdacademy.com,"7380 W SAND LAKE RD SUITE 500, ORLANDO, FL 32819",Orlando,Orange,PK-12,YES,YES,YES,VALID,"Director: JULIANA VILLEGAS LONDONO. Source: FLDOE Private School Directory, Orange County."
Ocala Christian Learning Academy Inc.,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 408-0320,lapfleger@yahoo.com,"1428 E SEMORAN BOULEVARD UNIT 112, APOPKA, FL 32703",Apopka,Orange,K-12,YES,YES,YES,VALID,"Director: LOUIS PFLEGER. Source: FLDOE Private School Directory, Orange County."
One Accord Christian Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 523-3002,oacaorlando@aol.com,"7301 EDGEWATER DRIVE, ORLANDO, FL 32810-3524",Orlando,Orange,K-12,YES,YES,YES,VALID,"Director: DENISE BALBUENA. Source: FLDOE Private School Directory, Orange County."
Orange County Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 929-0574,suziecaffery@outlook.com,"18415 11TH AVE, ORLANDO, FL 32833",Orlando,Orange,PK-12,YES,YES,YES,VALID,"Director: SUZANNE CAFFERY. Source: FLDOE Private School Directory, Orange County."
Orlando Christian Prep,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 823-9744,jjacobson@orlandochristianprep.org,"500 S. SEMORAN BLVD., ORLANDO, FL 32807",Orlando,Orange,PK-12,YES,YES,YES,VALID,"Director: JENNIE JACOBSON. Source: FLDOE Private School Directory, Orange County."
Orlando Private School,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 730-4049,njoseph@awesomelandpreschoolacademy.org,"4607 NORTH PINE HILLS ROAD, ORLANDO, FL 32808",Orlando,Orange,PK-12,YES,YES,YES,VALID,"Director: DR. NANCY JOSEPH. Source: FLDOE Private School Directory, Orange County."
Orlando Torah Academy,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 270-4936,rabbiys@orlandotorah.com,"8651 COMMODITY CIRCLE, ORLANDO, FL 32819",Orlando,Orange,PK-12,YES,YES,YES,VALID,"Director: RABBI YEHUDA SCHEPANSKY. Source: FLDOE Private School Directory, Orange County."
Pathways School,private_elementary,FLDOE_Private,https://www.floridaschoolchoice.org/information/PrivateSchoolDirectory/,,(407) 816-2040,somedaycj@aol.com,"1877 WEST OAK RIDGE ROAD, ORLANDO, FL 32809",Orlando,Orange,K-12,YES,YES,YES,VALID,"Director: CHRISTINA JAMES. Source: FLDOE Private School Directory, Orange County."
