school_name,url,host,source_query,title,batch_id,confidence_reason,notes
Pinecrest Creek Academy,https://www.pinecrestcreekacademy.org/,pinecrestcreekacademy.org,Orange County FL K-8 school,Pinecrest Creek Academy,batch_03,school_keyword_in_domain:academy,
Pinecrest Preparatory Academy Orlando Campus,https://www.pinecrestorlando.org/,pinecrestorlando.org,Orlando FL academy elementary school,Pinecrest Preparatory Academy Orlando Campus,batch_03,"title_school+fl_signal:""charter school"" + ""orlando""",
Pluris Academy,https://plurisacademy.com/,plurisacademy.com,Orlando FL academy elementary school,"Pluris Academy | Orlando, FL Private K-12 School",batch_03,school_keyword_in_domain:academy,
Royal Palm Montessori Academy,https://www.rpmontessori.com/,rpmontessori.com,Orange County FL montessori elementary,Royal Palm Montessori Academy | toddler preschool | 12532 ...,batch_03,school_keyword_in_domain:montessori,
Saints Academy Private School,https://thesaintsacademy.com/index.html,thesaintsacademy.com,Orlando FL academy elementary school,Saints Academy Private School - Orlando,batch_03,school_keyword_in_domain:academy,
Smith Preparatory Academy,https://www.smithprep.com/,smithprep.com,Orange County FL preparatory school elementary,Smith Preparatory Academy | Christian Classical Education ...,batch_03,school_keyword_in_domain:prep,
South Orlando Christian Academy,https://sochristianacademy.com/contact-us/,sochristianacademy.com,Orange County FL christian school elementary,Contact Us,batch_03,school_keyword_in_domain:academy,
Spirit Academy,https://www.spiritacademy.org/,spiritacademy.org,Orange County FL christian school elementary,Home | Spirit Academy | Hybrid Christian School,batch_03,school_keyword_in_domain:academy,
Sunrise Academy: Private School,https://www.sunriseacademy.education/,sunriseacademy.education,Orange County FL private K-8 school,Sunrise Academy: Private School | Florida,batch_03,school_keyword_in_domain:academy,
The Christ School,https://www.thechristschool.org/,thechristschool.org,Orlando FL lower school,Premier Private Christian School in Downtown Orlando,batch_03,school_keyword_in_domain:school,
The Conrad Academy & Preschool,https://www.conradacademy.org/,conradacademy.org,Orlando FL academy elementary school,The Conrad Academy & Preschool,batch_03,school_keyword_in_domain:academy,
The Crenshaw Academy,https://thecrenshawacademy.com/,thecrenshawacademy.com,Orlando FL academy elementary school,"The Crenshaw Academy | Private K-12 Orlando, FL",batch_03,school_keyword_in_domain:academy,
"The First Academy: Top PK-12 Private School in Orlando, FL",https://thefirstacademy.org/,thefirstacademy.org,Orlando FL academy elementary school,"The First Academy: Top PK-12 Private School in Orlando, FL",batch_03,school_keyword_in_domain:academy,
The Master's Academy: Home,https://www.mastersacademy.org/,mastersacademy.org,Orange County FL christian school elementary,The Master's Academy: Home,batch_03,school_keyword_in_domain:academy,
The Montessori Academy of Celebration,https://www.montessoriacademycelebration.com/,montessoriacademycelebration.com,Orange County FL montessori elementary,The Montessori Academy of Celebration | Discover Montessori ...,batch_03,school_keyword_in_domain:academy,
The Pegasus School,https://www.thepegasusschool.org/,thepegasusschool.org,Orange County FL private school elementary,The Pegasus School: Home,batch_03,school_keyword_in_domain:school,
The Walden Community School Orlando,https://www.thewaldenschoolorlando.com/,thewaldenschoolorlando.com,Orange County FL lower school,The Walden Community School Orlando | Discover Creative ...,batch_03,school_keyword_in_domain:school,
Turtle River Montessori,https://turtlerivermontessori.com/,turtlerivermontessori.com,Orange County FL montessori elementary,Home - Turtleriver Montessori,batch_03,school_keyword_in_domain:montessori,
UCP CHARTER SCHOOLS,https://www.ucpcharter.org/,ucpcharter.org,Orlando FL academy elementary school,UCP CHARTER SCHOOLS | Charter School in Orlando | 4780 ...,batch_03,school_keyword_in_domain:charter,
Welcome to Winter Garden Christian Academy,https://www.wgcacademy.org/,wgcacademy.org,Orange County FL christian school elementary,Welcome to Winter Garden Christian Academy | Private ...,batch_03,school_keyword_in_domain:academy,
Windy Ridge K-8,https://windyridgek8.ocps.net/,windyridgek8.ocps.net,Orange County FL K-8 school,Windy Ridge K-8 - Home - Orange County Public Schools,batch_03,official_ocps_school_subdomain,
