school_name,url,host,source_query,title,batch_id,confidence_reason,notes
American Heritage Schools: #1 Private K-12 School in Florida,https://www.ahschool.com/,ahschool.com,Orange County FL private K-8 school,American Heritage Schools: #1 Private K-12 School in Florida,batch_01,school_keyword_in_domain:school,
Aspire Charter Academy,https://aspirecharteracademy.com/,aspirecharteracademy.com,Orlando FL academy elementary school,Homepage - Aspire Charter AcademyAspire Charter Academy,batch_01,school_keyword_in_domain:academy,
Audubon Park School,https://audubonparkk8.ocps.net/,audubonparkk8.ocps.net,Orange County FL K-8 school,Audubon Park School - Home - Orange County Public Schools,batch_01,official_ocps_school_subdomain,
Best Private School In Orlando,https://www.trinityprep.org/,trinityprep.org,Orange County FL private school elementary,Best Private School In Orlando | Orlando Preparatory School,batch_01,school_keyword_in_domain:prep,
Bridge Prep Academy Orange Campus,https://www.bridgepreporange.com/,bridgepreporange.com,Orange County FL preparatory school elementary,Bridge Prep Academy Orange Campus,batch_01,school_keyword_in_domain:prep,
Bridgeprep Academy Charter Schools,https://www.bridgeprepacademy.com/,bridgeprepacademy.com,Orange County FL preparatory school elementary,Bridgeprep Academy Charter Schools,batch_01,school_keyword_in_domain:academy,
Camen Academy,https://www.camenacademy.com/,camenacademy.com,Orange County FL academy elementary school,"Behavior-Based Education | Arts-Based Learning | Orlando, FL",batch_01,school_keyword_in_domain:academy,
Center Academy,https://centeracademy.com/,centeracademy.com,Orange County FL private school elementary,Center Academy | Special Education Schools in Florida,batch_01,school_keyword_in_domain:academy,
Central Florida Christian Academy: Homepage,https://cfcaeagles.org/,cfcaeagles.org,Orange County FL christian school elementary,Central Florida Christian Academy: Homepage,batch_01,"title_school+fl_signal:""christian school"" + ""orlando""",
Central Florida Leadership Academy,https://www.cflacademy.org/,cflacademy.org,Orlando FL academy elementary school,Charter School | Central Florida Leadership Academy | Orlando,batch_01,school_keyword_in_domain:academy,
Central Florida Preparatory School,https://cfprep.org/,cfprep.org,Orange County FL preparatory school elementary,Central Florida Preparatory School | Private PreK-12 Orlando,batch_01,school_keyword_in_domain:prep,
Circle Christian Schools: Home,https://circlechristianschool.org/,circlechristianschool.org,Orange County FL christian school elementary,Circle Christian Schools: Home,batch_01,school_keyword_in_domain:school,
Cornerstone Charter Academy,https://www.cornerstonecharter.com/,cornerstonecharter.com,Orange County FL christian school elementary,Cornerstone Charter Academy,batch_01,school_keyword_in_domain:charter,
Eastland Christian School,https://www.eastlandchristian.org/,eastlandchristian.org,Orange County FL christian school elementary,Eastland Christian School,batch_01,school_keyword_in_domain:christian,
"Elementary School in Orlando, FL",https://coreflacademy.org/elementary-school-in-orlando/,coreflacademy.org,Orlando FL academy elementary school,"Elementary School in Orlando, FL",batch_01,school_keyword_in_domain:academy,
Faith Christian Academy,https://fcalions.org/,fcalions.org,Orange County FL christian school elementary,Faith Christian Academy | Orlando – A Ministry of Faith ...,batch_01,"title_school+fl_signal:""academy"" + ""orlando""",
Family Christian Academy: www.fcaorlando.com Private ...,https://www.fcaorlando.com/,fcaorlando.com,Orange County FL christian school elementary,Family Christian Academy: www.fcaorlando.com Private ...,batch_01,"title_school+fl_signal:""academy"" + ""orlando""",
Foundation Academy,https://www.foundationacademy.net/,foundationacademy.net,Orange County FL private school elementary,Foundation Academy | Top Christian Private School in Winter ...,batch_01,school_keyword_in_domain:academy,
Heritage Prep School,https://heritageprep.com/,heritageprep.com,Orange County FL christian school elementary,Heritage Prep School,batch_01,school_keyword_in_domain:prep,
Hillcrest Elementary,https://hillcrestes.ocps.net/,hillcrestes.ocps.net,Orlando FL lower school,Hillcrest Elementary - Home - Orange County Public Schools,batch_01,official_ocps_school_subdomain,
Hope Charter School,https://www.hopecharter.org/,hopecharter.org,Orange County FL charter school elementary,Hope Charter School,batch_01,school_keyword_in_domain:charter,
Innovation Montessori Ocoee,https://www.innovationmontessori.com/,innovationmontessori.com,Orange County FL montessori elementary,"Innovation Montessori Ocoee | Montessori School | Ocoee, FL",batch_01,school_keyword_in_domain:montessori,
Jewish Academy of Orlando,https://www.jewishacademyorlando.org/,jewishacademyorlando.org,Orlando FL academy elementary school,Jewish Academy of Orlando,batch_01,school_keyword_in_domain:academy,
Keystone Academy,http://www.keystone-academy.com/lower-school,keystone-academy.com,Orange County FL lower school,LOWER SCHOOL - Keystone Academy,batch_01,school_keyword_in_domain:academy,
Lake Forrest Prep,https://www.lakeforrestprep.com/admissions/,lakeforrestprep.com,Orange County FL preparatory school elementary,Admissions | Orlando Private School,batch_01,school_keyword_in_domain:prep,
